Protein	H5LungInf3d-H5LungPBS4d_log2FC	H5LungInf3d-H5LungPBS4d_adj.pvalue	H5LungInf4d-H5LungPBS4d_log2FC	H5LungInf4d-H5LungPBS4d_adj.pvalue
137.0/7.0	-1.07687473403737	0.99997651208131	-0.718626633121613	0.7095126755582
137.0/9.1	-0.842155535240277	0.756861442780332	-0.725077412916784	0.3804015373358
137.1/23.6	1.09511699750496	0.911055942792394	0.602407682271866	0.658342708896009
137.1/6.4	-0.241274937232534	0.99997651208131	0.963970691796031	0.000436512987869776
138.0/9.7	-1.74233411851498	0.011564550865651	-0.91843640640879	0.179673831016122
138.9/9.2	0.653474696112161	0.99997651208131	3.08317755484448	0.269463604995866
140.0/9.6	-0.525509735703418	0.99997651208131	0.71913759504567	0.415432346832029
140.1/0.6	0.260002474368402	0.99997651208131	0.172478687847643	0.823111399333914
140.1/23.0	0.378865357998842	0.99997651208131	0.169904295011628	0.794317869740622
140.1/6.3	0.422510935970395	0.99997651208131	1.09158754173567	0.426268431290612
140.9/8.3	-0.340474911151991	0.99997651208131	-0.630347402006611	0.495195546197119
141.0/7.7	-0.317898121226924	0.99997651208131	-0.597102014569907	0.688458761717237
141.1/0.1	0.185103831682957	0.99997651208131	0.0207380132542562	0.980870593687358
142.1/0.5	-0.0974369497966978	0.99997651208131	-0.104810201514151	0.859619398000044
142.1/1.0	-0.206516178148836	0.99997651208131	0.0407162015293695	0.965715087069176
142.1/5.0	-0.757155234614741	0.99997651208131	-0.348562762058626	0.800415770074078
142.1/6.3	-0.39736451866469	0.99997651208131	0.00153691305065351	0.999572319075838
144.1/5.0	-0.682420715864048	0.99997651208131	-0.394961546888771	0.748993643515528
144.1/6.8	-0.236565693300128	0.99997651208131	-0.468023084841335	0.717221185590037
144.1/9.5	-1.27126368807358	0.114656223921698	-0.814518975099202	0.219653823531085
144.2/2.4	-0.167004351349064	0.99997651208131	-0.329232070302859	0.746362163865828
145.0/9.7	-0.128831997044686	0.99997651208131	-0.380779292661723	0.503228134825215
145.1/0.4	0.187536382820518	0.99997651208131	-0.268974629182325	0.695640162845113
145.1/0.7	-0.0676976998712585	0.99997651208131	-0.0345490028318223	0.965715087069176
145.1/5.2	-0.461035343689739	0.99997651208131	-0.327151787887056	0.767107761461843
145.1/6.5	-0.381701088998936	0.99997651208131	-0.205102289812001	0.859619398000044
146.1/10.5	-0.0884579548896283	0.99997651208131	0.871632451143986	0.199843731016056
146.1/11.2	0.361133417732706	0.99997651208131	0.529438260611168	0.485528808141463
146.1/2.6	0.155258936721631	0.99997651208131	0.160575722470045	0.909825303282156
146.1/3.3	-0.198308274956315	0.99997651208131	0.0891497945621493	0.94810924259183
147.1/10.0	0.977672574515953	0.21483167361042	0.642960627231445	0.266958208998125
147.1/2.5	0.384492717821742	0.99997651208131	2.00865031609913	0.00067437639043251
147.1/9.4	0.23619967060009	0.99997651208131	-0.517877818549719	0.254766462569689
147.2/9.2	0.00744792505131575	0.99997651208131	-0.828699757301329	0.470843623769296
148.0/9.3	0.8379458847464	0.99997651208131	2.02892719553828	0.390289148160878
148.0/9.8	-0.0186028897086712	0.99997651208131	0.254997662693278	0.817402331679332
149.0/20.6	-0.319650942527807	0.99997651208131	-0.236115532281902	0.748993643515528
149.0/3.5	0.197973596902633	0.99997651208131	-0.239692329092872	0.760171416984846
149.0/7.8	0.479233920491706	0.99997651208131	1.63300764730138	0.30628497525989
150.0/9.6	0.363257231659025	0.99997651208131	-0.210328011208918	0.875608915537726
150.1/5.1	-0.277230628417711	0.99997651208131	-1.19741332188913	0.170005248231035
151.0/9.9	-0.0400485832167283	0.99997651208131	-0.0281748120480558	0.995453963540385
152.0/10.0	0.818372103302373	0.99997651208131	0.553104149070086	0.741787319306382
152.1/3.6	-0.580610703665525	0.99997651208131	4.56921559229872	5.35893706451621e-06
153.0/5.5	-1.0944707643552	0.546732682807288	0.799816513207869	0.346837087992673
154.0/10.0	0.0947247956025676	0.99997651208131	0.617181140768108	0.694809192510277
155.9/20.9	0.257953322918291	0.99997651208131	-0.876616789803297	0.353885396748133
156.0/10.6	0.825072841537375	0.521444260373769	1.07045600768113	0.0316587798881379
156.0/9.5	-0.554771147027431	0.99997651208131	1.27319894074471	0.590960909740293
156.1/0.4	0.0879748409652536	0.99997651208131	-0.0638291633949097	0.919745202403658
156.1/2.9	0.0240760582110762	0.99997651208131	0.460546667713231	0.658342708896009
156.1/21.0	-0.0603428277359166	0.99997651208131	-0.228684377767512	0.784222515973493
156.1/3.3	0.0125074468574475	0.99997651208131	0.474132481741985	0.704654009006516
157.0/20.3	-0.0977877157767206	0.99997651208131	-0.451870651469956	0.712232889218306
